window,selection_validation_false_alarm,selection_synthetic_detection,selection_synthetic_median_delay_ms,test_false_alarm_rate_per_trace,test_detection_rate,test_median_detection_delay_ms,test_post_drift_acceptance,test_post_drift_selective_error,test_post_drift_error_exposure,test_overall_selective_error,selected_from_exp1_only
1,0.045454545454545456,0.045454545454545456,11250.0,0.0,0.018867924528301886,230574.0,0.9813933362180874,0.8757838526357045,0.8594884369440838,0.49648663257245024,False
2,0.0,0.09090909090909091,60250.0,0.0,0.018867924528301886,230574.0,0.9813933362180874,0.8757838526357045,0.8594884369440838,0.49648663257245024,False
3,0.0,0.8181818181818182,15000.0,0.03773584905660377,0.33962264150943394,22285.5,0.6074811289004279,0.8521171349426198,0.5176450790903409,0.38785843822383426,False
5,0.0,0.9090909090909091,8875.0,0.09433962264150944,0.8867924528301887,8964.0,0.05988268666762825,0.7623444399839422,0.04565123323236694,0.06030166190520075,True
