profile,method,feature,nrmse,nmae
P1,Temporal ridge,dl_brate,0.1638359626479059,0.08595121332105518
P1,Temporal ridge,dl_bler,0.7129863091000623,0.43461931911101825
P1,Temporal ridge,dl_mcs,0.5667473256950198,0.37271279471056484
P1,Temporal ridge,dl_snr,0.2536618470855788,0.18254636225252124
P1,Temporal ridge,rsrp,0.09512734818124176,0.049984742173687056
P1,Temporal ridge,ul_brate,0.9267511531252681,0.3794950884553457
P1,Temporal ridge,ul_bler,0.9046000324472,0.6202261619305738
P1,Temporal ridge,ul_buff,1.127326933599675,0.3985567829360667
P1,KPM-Bridge,dl_brate,0.16197090847281145,0.0784681405866909
P1,KPM-Bridge,dl_bler,0.7138945355071006,0.41635821617665336
P1,KPM-Bridge,dl_mcs,0.5606619117968783,0.36648681572431874
P1,KPM-Bridge,dl_snr,0.26670448399068836,0.18119994064014439
P1,KPM-Bridge,rsrp,0.0719112958681459,0.012849497013628697
P1,KPM-Bridge,ul_brate,0.8720342272003601,0.3035886828808668
P1,KPM-Bridge,ul_bler,0.8197757148281012,0.5199201631896438
P1,KPM-Bridge,ul_buff,1.1328873962422725,0.34902905368186016
P2,Temporal ridge,dl_brate,0.256726307876116,0.14228358278610534
P2,Temporal ridge,dl_bler,0.7128883826039957,0.44026760545573673
P2,Temporal ridge,dl_mcs,0.5719087271062261,0.38057652851002977
P2,Temporal ridge,dl_snr,0.26376737220430063,0.19668813460878956
P2,Temporal ridge,rsrp,0.12156110447826825,0.08346418223534921
P2,Temporal ridge,ul_brate,0.9183138907130556,0.3749276061149228
P2,Temporal ridge,ul_bler,0.9122284786246083,0.6369864876187781
P2,Temporal ridge,ul_buff,1.155908096373545,0.3873478852170715
P2,KPM-Bridge,dl_brate,0.1764350825048564,0.09237476631707274
P2,KPM-Bridge,dl_bler,0.7179337241194205,0.41954092770898277
P2,KPM-Bridge,dl_mcs,0.5637656845592408,0.37028097607289595
P2,KPM-Bridge,dl_snr,0.26562206780028114,0.18041566254825053
P2,KPM-Bridge,rsrp,0.06852300272007653,0.015225198229919048
P2,KPM-Bridge,ul_brate,0.8891371841193346,0.3054240109854714
P2,KPM-Bridge,ul_bler,0.8474788907030175,0.5443818315409549
P2,KPM-Bridge,ul_buff,1.1297663407899432,0.34643600965272414
P3,Temporal ridge,dl_brate,0.24512717633541276,0.1377530976992619
P3,Temporal ridge,dl_bler,0.7234014310230634,0.45170250654126765
P3,Temporal ridge,dl_mcs,0.5910752547928086,0.39992920846014995
P3,Temporal ridge,dl_snr,0.2862237148616176,0.2172868288372403
P3,Temporal ridge,rsrp,0.16690371101436272,0.1174574086216072
P3,Temporal ridge,ul_brate,1.0044573107141557,0.3931221156234474
P3,Temporal ridge,ul_bler,0.9399055535228904,0.6760601609338495
P3,Temporal ridge,ul_buff,1.1749443694275263,0.3905640323450796
P3,KPM-Bridge,dl_brate,0.17534750426119886,0.08446481866767193
P3,KPM-Bridge,dl_bler,0.7151309974744742,0.42103413980321525
P3,KPM-Bridge,dl_mcs,0.5757285447139646,0.37823888832807745
P3,KPM-Bridge,dl_snr,0.27038965756972116,0.18525269230982586
P3,KPM-Bridge,rsrp,0.07972416245422334,0.018269123253209573
P3,KPM-Bridge,ul_brate,1.0007457629749579,0.38290326636164373
P3,KPM-Bridge,ul_bler,0.9233186097855199,0.6718577535306672
P3,KPM-Bridge,ul_buff,1.1834359357764817,0.3903602472562724
